"Strategies","left","rope","right"
"MBR-C5.0 x EBR-XGB",0,0,1
"MBR-C5.0 x ECC-XGB",0,0,1
"MBR-C5.0 x MBR-XGB",0,0,1
"MBR-C5.0 x NS-XGB",0,0,1
"MBR-C5.0 x PruDent-XGB",0,0,1
"MBR-C5.0 x RDBR-XGB",0,0,1
"NS-C5.0 x PruDent-C5.0",0.04,0.52,0.44
"NS-C5.0 x RDBR-C5.0",0.01,0.95,0.04
"NS-C5.0 x BR-LR",0.02,0,0.98
"NS-C5.0 x BR+-LR",0,0,1
"NS-C5.0 x CC-LR",0,0,1
"NS-C5.0 x DBR-LR",0,0,1
"NS-C5.0 x EBR-LR",0,0,1
"NS-C5.0 x ECC-LR",0,0,1
"NS-C5.0 x MBR-LR",0.01,0,0.99
"NS-C5.0 x NS-LR",0.01,0,0.99
"NS-C5.0 x PruDent-LR",0.01,0,0.99
"NS-C5.0 x RDBR-LR",0,0,1
"NS-C5.0 x BR-RF",0.24,0,0.76
"NS-C5.0 x BR+-RF",0.19,0,0.81
"NS-C5.0 x CC-RF",0.21,0,0.79
"NS-C5.0 x DBR-RF",0.19,0,0.81
"NS-C5.0 x EBR-RF",0,0,1
"NS-C5.0 x ECC-RF",0,0,1
"NS-C5.0 x MBR-RF",0.24,0,0.76
"NS-C5.0 x NS-RF",0.16,0,0.84
"NS-C5.0 x PruDent-RF",0.24,0,0.76
"NS-C5.0 x RDBR-RF",0.22,0,0.78
"NS-C5.0 x BR-SVM",0.02,0,0.98
"NS-C5.0 x BR+-SVM",0,0,1
"NS-C5.0 x CC-SVM",0,0,1
"NS-C5.0 x DBR-SVM",0,0,1
"NS-C5.0 x EBR-SVM",0,0,1
"NS-C5.0 x ECC-SVM",0,0,1
"NS-C5.0 x MBR-SVM",0.01,0,0.99
"NS-C5.0 x NS-SVM",0.01,0,0.99
"NS-C5.0 x PruDent-SVM",0.01,0,0.99
"NS-C5.0 x RDBR-SVM",0,0,1
"NS-C5.0 x BR-SVMt",0.01,0,0.99
"NS-C5.0 x BR+-SVMt",0,0,1
"NS-C5.0 x CC-SVMt",0,0,1
"NS-C5.0 x DBR-SVMt",0,0,1
"NS-C5.0 x EBR-SVMt",0,0,1
"NS-C5.0 x ECC-SVMt",0,0,1
"NS-C5.0 x MBR-SVMt",0,0,1
"NS-C5.0 x NS-SVMt",0,0,1
"NS-C5.0 x PruDent-SVMt",0.01,0,0.99
"NS-C5.0 x RDBR-SVMt",0,0,1
"NS-C5.0 x BR-XGB",0,0,1
"NS-C5.0 x BR+-XGB",0,0,1
"NS-C5.0 x CC-XGB",0,0,1
"NS-C5.0 x DBR-XGB",0,0,1
"NS-C5.0 x EBR-XGB",0,0,1
"NS-C5.0 x ECC-XGB",0,0,1
"NS-C5.0 x MBR-XGB",0,0,1
"NS-C5.0 x NS-XGB",0,0,1
"NS-C5.0 x PruDent-XGB",0,0,1
"NS-C5.0 x RDBR-XGB",0,0,1
"PruDent-C5.0 x RDBR-C5.0",0.14,0.79,0.06
"PruDent-C5.0 x BR-LR",0.02,0,0.98
"PruDent-C5.0 x BR+-LR",0,0,1
"PruDent-C5.0 x CC-LR",0,0,1
"PruDent-C5.0 x DBR-LR",0,0,1
"PruDent-C5.0 x EBR-LR",0,0,1
"PruDent-C5.0 x ECC-LR",0,0,1
"PruDent-C5.0 x MBR-LR",0,0,1
"PruDent-C5.0 x NS-LR",0.01,0,0.99
"PruDent-C5.0 x PruDent-LR",0.01,0,0.99
"PruDent-C5.0 x RDBR-LR",0,0,1
"PruDent-C5.0 x BR-RF",0.3,0,0.7
"PruDent-C5.0 x BR+-RF",0.22,0,0.78
"PruDent-C5.0 x CC-RF",0.23,0,0.77
"PruDent-C5.0 x DBR-RF",0.21,0,0.79
"PruDent-C5.0 x EBR-RF",0,0,1
"PruDent-C5.0 x ECC-RF",0,0,1
"PruDent-C5.0 x MBR-RF",0.29,0,0.71
"PruDent-C5.0 x NS-RF",0.16,0,0.84
"PruDent-C5.0 x PruDent-RF",0.28,0,0.72
"PruDent-C5.0 x RDBR-RF",0.26,0,0.74
"PruDent-C5.0 x BR-SVM",0.01,0,0.99
"PruDent-C5.0 x BR+-SVM",0,0,1
"PruDent-C5.0 x CC-SVM",0,0,1
"PruDent-C5.0 x DBR-SVM",0,0,1
"PruDent-C5.0 x EBR-SVM",0,0,1
"PruDent-C5.0 x ECC-SVM",0,0,1
"PruDent-C5.0 x MBR-SVM",0.01,0,0.99
"PruDent-C5.0 x NS-SVM",0.01,0,0.99
"PruDent-C5.0 x PruDent-SVM",0.01,0,0.99
"PruDent-C5.0 x RDBR-SVM",0,0,1
"PruDent-C5.0 x BR-SVMt",0.01,0,0.99
"PruDent-C5.0 x BR+-SVMt",0,0,1
"PruDent-C5.0 x CC-SVMt",0,0,1
"PruDent-C5.0 x DBR-SVMt",0,0,1
"PruDent-C5.0 x EBR-SVMt",0,0,1
"PruDent-C5.0 x ECC-SVMt",0,0,1
"PruDent-C5.0 x MBR-SVMt",0,0,1
"PruDent-C5.0 x NS-SVMt",0,0,1
"PruDent-C5.0 x PruDent-SVMt",0,0,1
"PruDent-C5.0 x RDBR-SVMt",0,0,1
