"Strategies","left","rope","right"
"BR+-SVM x BR-SVMt",0.46,0.41,0.14
"BR+-SVM x BR-XGB",0.28,0,0.72
"BR+-SVM x BR+-SVMt",0.19,0.51,0.3
"BR+-SVM x BR+-XGB",0.37,0.01,0.62
"BR+-SVM x CC-SVM",0,1,0
"BR+-SVM x CC-SVMt",0.29,0.46,0.25
"BR+-SVM x CC-XGB",0.6,0,0.4
"BR+-SVM x DBR-SVM",0,1,0
"BR+-SVM x DBR-SVMt",0.3,0.37,0.33
"BR+-SVM x DBR-XGB",0.36,0.01,0.64
"BR+-SVM x EBR-SVM",0.02,0.01,0.98
"BR+-SVM x EBR-SVMt",0.06,0,0.94
"BR+-SVM x EBR-XGB",0,0,1
"BR+-SVM x ECC-SVM",0.02,0.01,0.97
"BR+-SVM x ECC-SVMt",0.09,0,0.91
"BR+-SVM x ECC-XGB",0,0,1
"BR+-SVM x MBR-SVM",0,1,0
"BR+-SVM x MBR-SVMt",0.16,0.65,0.18
"BR+-SVM x MBR-XGB",0.25,0,0.75
"BR+-SVM x NS-SVM",0,1,0
"BR+-SVM x NS-SVMt",0.27,0.5,0.24
"BR+-SVM x NS-XGB",0.49,0,0.51
"BR+-SVM x PruDent-SVM",0,1,0
"BR+-SVM x PruDent-SVMt",0.19,0.74,0.07
"BR+-SVM x PruDent-XGB",0.24,0,0.75
"BR+-SVM x RDBR-SVM",0,1,0
"BR+-SVM x RDBR-SVMt",0.17,0.36,0.47
"BR+-SVM x RDBR-XGB",0.33,0.01,0.66
"BR+-SVMt x BR-XGB",0.75,0.04,0.21
"BR+-SVMt x BR+-XGB",0.67,0.18,0.16
"BR+-SVMt x CC-SVMt",0.02,0.98,0
"BR+-SVMt x CC-XGB",0.83,0.04,0.14
"BR+-SVMt x DBR-SVMt",0,1,0
"BR+-SVMt x DBR-XGB",0.66,0.07,0.26
"BR+-SVMt x EBR-SVMt",0.06,0.11,0.83
"BR+-SVMt x EBR-XGB",0,0,1
"BR+-SVMt x ECC-SVMt",0.06,0.05,0.89
"BR+-SVMt x ECC-XGB",0,0,1
"BR+-SVMt x MBR-SVMt",0.05,0.94,0.01
"BR+-SVMt x MBR-XGB",0.68,0.09,0.23
"BR+-SVMt x NS-SVMt",0.14,0.86,0
"BR+-SVMt x NS-XGB",0.84,0.07,0.09
"BR+-SVMt x PruDent-SVMt",0.08,0.91,0
"BR+-SVMt x PruDent-XGB",0.66,0.08,0.26
"BR+-SVMt x RDBR-SVMt",0,1,0
