"Strategies","left","rope","right"
"CC-C5.0 x EBR-LR",0,0,1
"CC-C5.0 x EBR-RF",0,0,1
"CC-C5.0 x EBR-SVM",0,0,1
"CC-C5.0 x EBR-SVMt",0,0,1
"CC-C5.0 x EBR-XGB",0,0,1
"CC-C5.0 x ECC-C5.0",0,0,1
"CC-C5.0 x ECC-LR",0,0,1
"CC-C5.0 x ECC-RF",0,0,1
"CC-C5.0 x ECC-SVM",0,0,1
"CC-C5.0 x ECC-SVMt",0,0,1
"CC-C5.0 x ECC-XGB",0,0,1
"CC-C5.0 x MBR-C5.0",0,0.34,0.65
"CC-C5.0 x MBR-LR",0.02,0,0.98
"CC-C5.0 x MBR-RF",0.36,0,0.64
"CC-C5.0 x MBR-SVM",0.02,0,0.98
"CC-C5.0 x MBR-SVMt",0.08,0,0.92
"CC-C5.0 x MBR-XGB",0,0,1
"CC-C5.0 x NS-C5.0",0.06,0.94,0
"CC-C5.0 x NS-LR",0.05,0,0.95
"CC-C5.0 x NS-RF",0.27,0,0.73
"CC-C5.0 x NS-SVM",0.03,0,0.97
"CC-C5.0 x NS-SVMt",0.06,0,0.94
"CC-C5.0 x NS-XGB",0,0,1
"CC-C5.0 x PruDent-C5.0",0.26,0.62,0.13
"CC-C5.0 x PruDent-LR",0.02,0,0.98
"CC-C5.0 x PruDent-RF",0.37,0,0.63
"CC-C5.0 x PruDent-SVM",0.03,0,0.97
"CC-C5.0 x PruDent-SVMt",0.11,0,0.89
"CC-C5.0 x PruDent-XGB",0,0,1
"CC-C5.0 x RDBR-C5.0",0,1,0
"CC-C5.0 x RDBR-LR",0.01,0,0.99
"CC-C5.0 x RDBR-RF",0.35,0,0.65
"CC-C5.0 x RDBR-SVM",0.01,0,0.99
"CC-C5.0 x RDBR-SVMt",0.01,0,0.99
"CC-C5.0 x RDBR-XGB",0,0,1
"CC-LR x BR-RF",0.99,0,0.01
"CC-LR x BR-SVM",0.42,0.57,0
"CC-LR x BR-SVMt",0.44,0.39,0.17
"CC-LR x BR-XGB",0.06,0,0.94
"CC-LR x BR+-RF",1,0,0
"CC-LR x BR+-SVM",0,0.97,0.03
"CC-LR x BR+-SVMt",0.05,0.06,0.89
"CC-LR x BR+-XGB",0.07,0,0.93
"CC-LR x CC-RF",0.99,0,0.01
"CC-LR x CC-SVM",0,1,0
"CC-LR x CC-SVMt",0.08,0.44,0.48
"CC-LR x CC-XGB",0.22,0,0.78
"CC-LR x DBR-LR",0,0.92,0.08
"CC-LR x DBR-RF",0.99,0,0.01
"CC-LR x DBR-SVM",0.01,0.85,0.15
"CC-LR x DBR-SVMt",0.04,0.14,0.83
"CC-LR x DBR-XGB",0.06,0,0.94
"CC-LR x EBR-LR",0.04,0,0.96
