"Strategies","left","rope","right"
"BR+-LR x RDBR-RF",0.05,0,0.95
"BR+-LR x RDBR-SVM",0,1,0
"BR+-LR x RDBR-SVMt",0.17,0.78,0.04
"BR+-LR x RDBR-XGB",0.71,0.02,0.27
"BR+-RF x BR-SVM",0.69,0.01,0.31
"BR+-RF x BR-SVMt",0.17,0.14,0.69
"BR+-RF x BR-XGB",0.55,0.39,0.06
"BR+-RF x BR+-SVM",0.94,0,0.06
"BR+-RF x BR+-SVMt",0.84,0.04,0.12
"BR+-RF x BR+-XGB",0.91,0.09,0
"BR+-RF x CC-RF",0,1,0
"BR+-RF x CC-SVM",0.97,0,0.03
"BR+-RF x CC-SVMt",0.88,0.02,0.1
"BR+-RF x CC-XGB",1,0,0
"BR+-RF x DBR-RF",0,1,0
"BR+-RF x DBR-SVM",0.94,0,0.06
"BR+-RF x DBR-SVMt",0.88,0.02,0.1
"BR+-RF x DBR-XGB",0.9,0.08,0.02
"BR+-RF x EBR-RF",0.18,0.8,0.02
"BR+-RF x EBR-SVM",0.92,0,0.08
"BR+-RF x EBR-SVMt",0.79,0.03,0.18
"BR+-RF x EBR-XGB",0.56,0.09,0.36
"BR+-RF x ECC-RF",0.2,0.8,0
"BR+-RF x ECC-SVM",0.95,0,0.05
"BR+-RF x ECC-SVMt",0.75,0.1,0.15
"BR+-RF x ECC-XGB",0.8,0.01,0.19
"BR+-RF x MBR-RF",0,0.99,0.01
"BR+-RF x MBR-SVM",0.94,0,0.06
"BR+-RF x MBR-SVMt",0.87,0,0.13
"BR+-RF x MBR-XGB",0.99,0.01,0
"BR+-RF x NS-RF",0,1,0
"BR+-RF x NS-SVM",0.75,0.06,0.18
"BR+-RF x NS-SVMt",0.83,0.09,0.08
"BR+-RF x NS-XGB",0.99,0.01,0.01
"BR+-RF x PruDent-RF",0,1,0
"BR+-RF x PruDent-SVM",0.9,0,0.1
"BR+-RF x PruDent-SVMt",0.38,0.11,0.51
"BR+-RF x PruDent-XGB",0.38,0.59,0.03
"BR+-RF x RDBR-RF",0,1,0
"BR+-RF x RDBR-SVM",0.94,0,0.06
"BR+-RF x RDBR-SVMt",0.74,0.07,0.19
"BR+-RF x RDBR-XGB",0.84,0.16,0.01
"BR+-SVM x BR-SVMt",0.12,0.17,0.71
"BR+-SVM x BR-XGB",0.2,0.04,0.76
"BR+-SVM x BR+-SVMt",0.49,0.32,0.19
"BR+-SVM x BR+-XGB",0.68,0.02,0.29
"BR+-SVM x CC-SVM",0,1,0
"BR+-SVM x CC-SVMt",0.13,0.82,0.05
"BR+-SVM x CC-XGB",0.88,0,0.12
"BR+-SVM x DBR-SVM",0,1,0
"BR+-SVM x DBR-SVMt",0.35,0.48,0.17
"BR+-SVM x DBR-XGB",0.64,0.06,0.3
"BR+-SVM x EBR-SVM",0.88,0.09,0.03
"BR+-SVM x EBR-SVMt",0.66,0.05,0.29
"BR+-SVM x EBR-XGB",0.07,0.29,0.64
"BR+-SVM x ECC-SVM",0.57,0.42,0.02
"BR+-SVM x ECC-SVMt",0.67,0.08,0.25
"BR+-SVM x ECC-XGB",0.18,0.19,0.63
"BR+-SVM x MBR-SVM",0,1,0
"BR+-SVM x MBR-SVMt",0.43,0.45,0.12
"BR+-SVM x MBR-XGB",0.76,0.04,0.2
"BR+-SVM x NS-SVM",0,0.96,0.04
"BR+-SVM x NS-SVMt",0.18,0.64,0.17
"BR+-SVM x NS-XGB",0.81,0.01,0.18
"BR+-SVM x PruDent-SVM",0,1,0
"BR+-SVM x PruDent-SVMt",0.09,0.18,0.73
"BR+-SVM x PruDent-XGB",0.36,0.12,0.53
"BR+-SVM x RDBR-SVM",0,1,0
"BR+-SVM x RDBR-SVMt",0.15,0.81,0.04
"BR+-SVM x RDBR-XGB",0.69,0.02,0.29
"BR+-SVMt x BR-XGB",0.23,0.43,0.33
"BR+-SVMt x BR+-XGB",0.73,0.1,0.17
"BR+-SVMt x CC-SVMt",0.02,0.96,0.02
"BR+-SVMt x CC-XGB",0.88,0.03,0.09
"BR+-SVMt x DBR-SVMt",0,1,0
"BR+-SVMt x DBR-XGB",0.63,0.07,0.3
"BR+-SVMt x EBR-SVMt",0.23,0.7,0.07
"BR+-SVMt x EBR-XGB",0,0.46,0.54
"BR+-SVMt x ECC-SVMt",0.16,0.81,0.03
"BR+-SVMt x ECC-XGB",0.01,0.43,0.56
"BR+-SVMt x MBR-SVMt",0.04,0.89,0.07
"BR+-SVMt x MBR-XGB",0.72,0.04,0.24
"BR+-SVMt x NS-SVMt",0.01,0.97,0.01
"BR+-SVMt x NS-XGB",0.84,0.08,0.09
"BR+-SVMt x PruDent-SVMt",0,0.6,0.4
