"Strategies","left","rope","right"
"BR+-LR x DBR-RF",0.12,0.01,0.87
"BR+-LR x DBR-SVM",0,1,0
"BR+-LR x DBR-SVMt",0.6,0.27,0.13
"BR+-LR x DBR-XGB",0.84,0.03,0.14
"BR+-LR x EBR-LR",1,0,0
"BR+-LR x EBR-RF",0.86,0,0.14
"BR+-LR x EBR-SVM",1,0,0
"BR+-LR x EBR-SVMt",0.98,0,0.02
"BR+-LR x EBR-XGB",0.97,0,0.02
"BR+-LR x ECC-LR",1,0,0
"BR+-LR x ECC-RF",0.9,0,0.1
"BR+-LR x ECC-SVM",1,0,0
"BR+-LR x ECC-SVMt",0.99,0,0.01
"BR+-LR x ECC-XGB",0.97,0,0.03
"BR+-LR x MBR-LR",0,0.98,0.02
"BR+-LR x MBR-RF",0.04,0.01,0.94
"BR+-LR x MBR-SVM",0,0.97,0.03
"BR+-LR x MBR-SVMt",0.21,0.73,0.06
"BR+-LR x MBR-XGB",0.76,0.08,0.17
"BR+-LR x NS-LR",0.07,0.82,0.11
"BR+-LR x NS-RF",0.28,0.02,0.7
"BR+-LR x NS-SVM",0.02,0.89,0.09
"BR+-LR x NS-SVMt",0.72,0.08,0.2
"BR+-LR x NS-XGB",0.95,0,0.05
"BR+-LR x PruDent-LR",0,0.94,0.05
"BR+-LR x PruDent-RF",0.03,0.02,0.95
"BR+-LR x PruDent-SVM",0,0.96,0.04
"BR+-LR x PruDent-SVMt",0.06,0.47,0.48
"BR+-LR x PruDent-XGB",0.72,0.09,0.19
"BR+-LR x RDBR-LR",0,1,0
"BR+-LR x RDBR-RF",0.13,0.15,0.72
"BR+-LR x RDBR-SVM",0,1,0
"BR+-LR x RDBR-SVMt",0.53,0.35,0.12
"BR+-LR x RDBR-XGB",0.9,0.02,0.08
"BR+-RF x BR-SVM",0.53,0.07,0.4
"BR+-RF x BR-SVMt",0.57,0.05,0.39
"BR+-RF x BR-XGB",0.94,0.05,0.01
"BR+-RF x BR+-SVM",0.81,0.1,0.08
"BR+-RF x BR+-SVMt",0.97,0,0.03
