"Strategies","left","rope","right"
"BR+-LR x ECC-XGB",0.21,0,0.79
"BR+-LR x MBR-LR",0.07,0.1,0.83
"BR+-LR x MBR-RF",0.07,0,0.93
"BR+-LR x MBR-SVM",0.13,0.1,0.77
"BR+-LR x MBR-SVMt",0.04,0.88,0.07
"BR+-LR x MBR-XGB",0.12,0,0.88
"BR+-LR x NS-LR",0.19,0.09,0.72
"BR+-LR x NS-RF",0.08,0,0.92
"BR+-LR x NS-SVM",0.11,0.06,0.83
"BR+-LR x NS-SVMt",0.34,0.11,0.56
"BR+-LR x NS-XGB",0.18,0,0.82
"BR+-LR x PruDent-LR",0.08,0.04,0.88
"BR+-LR x PruDent-RF",0.07,0,0.93
"BR+-LR x PruDent-SVM",0.25,0.29,0.46
"BR+-LR x PruDent-SVMt",0.43,0.36,0.21
"BR+-LR x PruDent-XGB",0.12,0,0.88
"BR+-LR x RDBR-LR",0,1,0
"BR+-LR x RDBR-RF",0.06,0,0.94
"BR+-LR x RDBR-SVM",0,1,0
"BR+-LR x RDBR-SVMt",0.24,0.32,0.44
"BR+-LR x RDBR-XGB",0.13,0,0.87
"BR+-RF x BR-SVM",0.91,0,0.09
"BR+-RF x BR-SVMt",0.9,0,0.1
"BR+-RF x BR-XGB",0.78,0,0.22
"BR+-RF x BR+-SVM",0.94,0,0.06
"BR+-RF x BR+-SVMt",0.92,0,0.08
"BR+-RF x BR+-XGB",0.91,0,0.09
"BR+-RF x CC-RF",0.01,0.99,0
"BR+-RF x CC-SVM",0.91,0,0.09
"BR+-RF x CC-SVMt",0.88,0,0.12
"BR+-RF x CC-XGB",0.79,0,0.21
"BR+-RF x DBR-RF",0,1,0
"BR+-RF x DBR-SVM",0.94,0,0.06
"BR+-RF x DBR-SVMt",0.92,0,0.08
"BR+-RF x DBR-XGB",0.92,0,0.08
"BR+-RF x EBR-RF",1,0,0
"BR+-RF x EBR-SVM",0.99,0,0.01
"BR+-RF x EBR-SVMt",0.94,0,0.06
"BR+-RF x EBR-XGB",0.98,0,0.02
"BR+-RF x ECC-RF",0.99,0,0.01
"BR+-RF x ECC-SVM",0.99,0,0.01
"BR+-RF x ECC-SVMt",0.93,0,0.07
"BR+-RF x ECC-XGB",0.94,0,0.06
"BR+-RF x MBR-RF",0.09,0.8,0.11
"BR+-RF x MBR-SVM",0.9,0,0.1
"BR+-RF x MBR-SVMt",0.62,0,0.38
"BR+-RF x MBR-XGB",0.82,0,0.18
"BR+-RF x NS-RF",0.01,0.99,0
"BR+-RF x NS-SVM",0.93,0,0.07
"BR+-RF x NS-SVMt",0.9,0,0.1
"BR+-RF x NS-XGB",0.87,0,0.13
"BR+-RF x PruDent-RF",0.01,0.97,0.02
"BR+-RF x PruDent-SVM",0.95,0,0.05
"BR+-RF x PruDent-SVMt",0.93,0,0.07
"BR+-RF x PruDent-XGB",0.78,0,0.22
"BR+-RF x RDBR-RF",0,1,0
"BR+-RF x RDBR-SVM",0.93,0,0.07
"BR+-RF x RDBR-SVMt",0.89,0,0.11
"BR+-RF x RDBR-XGB",0.86,0,0.14
"BR+-SVM x BR-SVMt",0.4,0.27,0.34
"BR+-SVM x BR-XGB",0.12,0,0.88
"BR+-SVM x BR+-SVMt",0.18,0.28,0.53
"BR+-SVM x BR+-XGB",0.16,0,0.84
"BR+-SVM x CC-SVM",0,0.99,0.01
"BR+-SVM x CC-SVMt",0.07,0.63,0.3
"BR+-SVM x CC-XGB",0.08,0,0.92
"BR+-SVM x DBR-SVM",0,1,0
"BR+-SVM x DBR-SVMt",0.2,0.17,0.62
"BR+-SVM x DBR-XGB",0.19,0,0.81
"BR+-SVM x EBR-SVM",0.99,0,0.01
"BR+-SVM x EBR-SVMt",0.65,0,0.35
"BR+-SVM x EBR-XGB",0.3,0,0.7
"BR+-SVM x ECC-SVM",0.99,0,0.01
"BR+-SVM x ECC-SVMt",0.69,0,0.31
"BR+-SVM x ECC-XGB",0.19,0,0.81
"BR+-SVM x MBR-SVM",0.11,0.12,0.77
"BR+-SVM x MBR-SVMt",0.07,0.73,0.19
"BR+-SVM x MBR-XGB",0.12,0,0.88
"BR+-SVM x NS-SVM",0.08,0.15,0.77
"BR+-SVM x NS-SVMt",0.33,0.14,0.53
